

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
063.025  000.711  000.158: require('cmp.types')
063.029  000.959  000.248: require('cmp.config.mapping')
063.178  000.149  000.149: require('cmp.utils.cache')
063.663  000.295  000.295: require('cmp.config.compare')
063.666  000.485  000.190: require('cmp.config.default')
063.680  001.888  000.296: require('cmp.config')
063.694  002.224  000.336: require('cmp.utils.async')
064.066  000.181  000.181: require('cmp.utils.pattern')
064.070  000.374  000.193: require('cmp.context')
065.625  000.311  000.311: require('cmp.matcher')
065.632  001.014  000.703: require('cmp.entry')
065.641  001.570  000.556: require('cmp.source')
066.094  000.153  000.153: require('cmp.utils.event')
066.789  000.140  000.140: require('cmp.utils.options')
066.814  000.490  000.350: require('cmp.utils.window')
066.817  000.720  000.231: require('cmp.view.docs_view')
067.464  000.176  000.176: require('cmp.utils.autocmd')
067.473  000.655  000.478: require('cmp.view.custom_entries_view')
067.803  000.329  000.329: require('cmp.view.wildmenu_entries_view')
068.057  000.251  000.251: require('cmp.view.native_entries_view')
068.301  000.241  000.241: require('cmp.view.ghost_text_view')
068.311  002.668  000.319: require('cmp.view')
069.017  010.017  001.267: require('cmp.core')
069.280  000.144  000.144: require('cmp.config.sources')
069.426  000.143  000.143: require('cmp.config.window')
069.502  010.862  000.558: require('cmp')
071.425  012.891  002.029: require('_nvim-cmp')
072.047  000.555  000.555: require('hop')
072.362  000.198  000.198: require('hop.perm')
072.714  000.098  000.098: require('hop.priority')
072.722  000.356  000.258: require('hop.hint')
072.723  000.672  000.118: require('hop.defaults')
072.836  000.110  000.110: require('hop.highlight')
073.007  001.578  000.239: require('_hop')
073.158  000.094  000.094: require('Comment')
073.237  000.076  000.076: require('Comment.config')
074.034  000.257  000.257: require('Comment.ft')
074.041  000.538  000.281: require('Comment.utils')
074.222  000.179  000.179: require('Comment.opfunc')
074.329  000.105  000.105: require('Comment.extra')
074.334  000.972  000.151: require('Comment.api')
074.536  001.526  000.383: require('_comment')
075.410  000.224  000.224: require('lualine_require')
075.818  001.213  000.988: require('lualine')
077.137  000.488  000.488: require('lualine.highlight')
082.955  000.236  000.236: require('lualine.utils.mode')
083.211  000.136  000.136: require('lualine.extensions.nerdtree')
083.561  009.023  006.950: require('_lualine')
084.132  000.199  000.199: require('telescope._extensions')
084.144  000.441  000.242: require('telescope')
086.863  000.356  000.356: require('plenary.bit')
087.110  000.243  000.243: require('plenary.functional')
087.137  000.016  000.016: require('ffi')
087.151  001.313  000.698: require('plenary.path')
087.158  001.599  000.286: require('plenary.strings')
087.341  000.182  000.182: require('telescope.deprecated')
088.345  000.370  000.370: require('plenary.log')
088.367  000.557  000.187: require('telescope.log')
089.396  000.507  000.507: require('plenary.job')
089.593  000.193  000.193: require('telescope.state')
089.601  001.232  000.533: require('telescope.utils')
089.607  002.264  000.474: require('telescope.sorters')
089.655  000.039  000.039: require('vim.inspect')
091.410  006.247  002.164: require('telescope.config')
092.148  000.330  000.330: require('plenary.window.border')
092.318  000.167  000.167: require('plenary.window')
092.501  000.180  000.180: require('plenary.popup.utils')
092.505  001.091  000.413: require('plenary.popup')
092.732  000.225  000.225: require('telescope.pickers.scroller')
092.922  000.188  000.188: require('telescope.actions.state')
093.155  000.231  000.231: require('telescope.actions.utils')
093.788  000.276  000.276: require('telescope.actions.mt')
093.806  000.649  000.373: require('telescope.actions.set')
094.390  000.304  000.304: require('telescope.config.resolve')
094.394  000.586  000.282: require('telescope.pickers.entry_display')
094.605  000.210  000.210: require('telescope.from_entry')
094.837  010.690  001.264: require('telescope.actions')
097.591  001.187  001.187: require('telescope.make_entry')
099.103  000.182  000.182: require('plenary.tbl')
099.109  000.437  000.255: require('plenary.vararg.rotate')
099.110  000.664  000.227: require('plenary.vararg')
099.288  000.177  000.177: require('plenary.errors')
099.293  001.151  000.310: require('plenary.async.async')
100.244  000.203  000.203: require('plenary.async.structs')
100.253  000.481  000.279: require('plenary.async.control')
100.258  000.729  000.248: require('plenary.async.util')
100.262  000.967  000.238: require('plenary.async.tests')
100.264  002.404  000.286: require('plenary.async')
100.266  002.671  000.267: require('telescope.finders.async_static_finder')
101.099  000.189  000.189: require('plenary.class')
101.230  000.660  000.471: require('telescope._')
101.234  000.948  000.288: require('telescope.finders.async_oneshot_finder')
101.450  000.214  000.214: require('telescope.finders.async_job_finder')
101.458  005.318  000.298: require('telescope.finders')
102.853  000.272  000.272: require('telescope.debounce')
103.201  000.345  000.345: require('telescope.mappings')
103.460  000.255  000.255: require('telescope.pickers.highlights')
103.652  000.189  000.189: require('telescope.pickers.window')
104.176  000.256  000.256: require('telescope.algos.linked_list')
104.181  000.526  000.270: require('telescope.entry_manager')
104.375  000.193  000.193: require('telescope.pickers.multi')
104.394  002.934  001.154: require('telescope.pickers')
104.910  000.186  000.186: require('harpoon.utils')
105.157  000.243  000.243: require('harpoon.dev')
105.475  001.079  000.650: require('harpoon')
105.828  000.349  000.349: require('harpoon.mark')
105.838  009.883  000.203: require('telescope._extensions.marks')
105.841  010.012  000.129: require('telescope._extensions.harpoon')
110.488  000.528  000.528: require('telescope.builtin.__lsp')
110.516  001.028  000.500: require('telescope.builtin')
110.694  027.129  004.958: require('_telescope')
111.304  000.238  000.238: require('dashboard.utils')
111.312  000.534  000.296: require('dashboard')
111.337  000.640  000.106: require('_dashboard')
113.111  000.172  000.172: require('nvim-tree.notify')
113.119  000.373  000.201: require('nvim-tree.events')
113.774  000.196  000.196: require('nvim-tree.log')
114.553  000.288  000.288: require('nvim-tree.iterators.node-iterator')
114.634  000.858  000.570: require('nvim-tree.utils')
115.173  000.535  000.535: require('nvim-tree.git.utils')
115.745  000.560  000.560: require('nvim-tree.git.runner')
116.169  000.413  000.413: require('nvim-tree.watcher')
116.472  000.298  000.298: require('nvim-tree.explorer.node')
116.484  003.188  000.329: require('nvim-tree.git')
116.733  000.247  000.247: require('nvim-tree.explorer.watch')
117.257  000.219  000.219: require('nvim-tree.explorer.node-builders')
117.744  000.483  000.483: require('nvim-tree.explorer.sorters')
118.039  000.290  000.290: require('nvim-tree.explorer.filters')
119.099  000.733  000.733: require('nvim-tree.view')
119.112  001.069  000.336: require('nvim-tree.live-filter')
119.120  002.383  000.323: require('nvim-tree.explorer.explore')
119.492  000.370  000.370: require('nvim-tree.explorer.reload')
